date range,SPY last of current block,SPY moving avg of next block
2010-02-01:2010-02-05,86.8169174194336,86.76125015751008
2010-02-08:2010-02-12,87.940185546875,88.76254050962386
2010-02-15:2010-02-19,90.46346282958984,90.1237032490392
2010-02-22:2010-02-26,90.13785552978516,91.28345907888105
2010-03-01:2010-03-05,92.994873046875,93.21779607957409
2010-03-08:2010-03-12,93.97976684570312,94.47307439004221
2010-03-15:2010-03-19,94.78360748291016,95.49255026540449
2010-03-22:2010-03-26,95.2821807861328,95.90807145641696
2010-03-29:2010-04-02,96.27928924560548,97.10214233398438
2010-04-05:2010-04-09,97.70957946777344,98.1084936818769
2010-04-12:2010-04-16,97.5542984008789,98.35395000826928
2010-04-19:2010-04-23,99.55670928955078,98.27484795355028
2010-04-26:2010-04-30,97.1047592163086,96.7638675320533
2010-05-03:2010-05-07,90.9340591430664,94.936524914157
2010-05-10:2010-05-14,93.08358764648438,92.10915030202558
2010-05-17:2010-05-21,89.1768569946289,88.20345109508884
2010-05-24:2010-05-28,89.38935089111328,89.10592823643839
2010-05-31:2010-06-04,87.3051986694336,86.8190401138798
2010-06-07:2010-06-11,89.64273071289062,90.49856739659464
2010-06-14:2010-06-18,91.75267791748048,90.56378296882876
2010-06-21:2010-06-25,88.58284759521484,86.7494378858997
2010-06-28:2010-07-02,83.9266357421875,84.89830066311744
2010-07-05:2010-07-09,88.65673828125,89.28244953770792
2010-07-12:2010-07-16,87.58917236328125,88.53304856823337
2010-07-19:2010-07-23,90.66871643066406,91.43213850452054
2010-07-26:2010-07-30,90.55370330810548,92.50128493770477
2010-08-02:2010-08-06,92.2946548461914,91.91214309200164
2010-08-09:2010-08-13,88.94412994384766,89.30761792582851
2010-08-16:2010-08-20,88.30362701416016,87.3979251000189
2010-08-23:2010-08-27,87.75343322753906,87.18256132064327
2010-08-30:2010-09-03,91.0628890991211,90.76434080062374
2010-09-06:2010-09-10,91.54737854003906,92.61631701069493
2010-09-13:2010-09-17,92.87133026123048,94.08336196407195
2010-09-20:2010-09-24,94.79497528076172,94.44903072234123
2010-09-27:2010-10-01,94.62158203125,94.83064663794732
2010-10-04:2010-10-08,96.21499633789062,96.58889918173514
2010-10-11:2010-10-15,97.17268371582031,97.27149938767955
2010-10-18:2010-10-22,97.7093276977539,97.94689252299648
2010-10-25:2010-10-29,97.82487487792969,98.51974487304688
2010-11-01:2010-11-05,101.3171844482422,100.79199686358052
2010-11-08:2010-11-12,99.23665618896484,98.50828527635143
2010-11-15:2010-11-19,99.31096649169922,98.82229072816911
2010-11-22:2010-11-26,98.08084106445312,98.71281236217868
2010-11-29:2010-12-03,101.45755004882812,101.51958317910471
2010-12-06:2010-12-10,102.7702407836914,102.8350571663149
2010-12-13:2010-12-17,103.16132354736328,103.78616997503465
2010-12-20:2010-12-24,104.2402114868164,104.35563093616116
2010-12-27:2010-12-31,104.3647232055664,105.51246101625503
2011-01-03:2011-01-07,105.51834106445312,105.7898197789346
2011-01-10:2011-01-14,107.31099700927734,107.15545383576423
2011-01-17:2011-01-21,106.53917694091795,107.2317620554278
2011-01-24:2011-01-28,105.99970245361328,107.61005253945628
2011-01-31:2011-02-04,108.84639739990234,109.73681886734501
2011-02-07:2011-02-11,110.47306823730469,110.76702487084174
2011-02-14:2011-02-18,111.65158081054688,110.44575943485383
2011-02-21:2011-02-25,109.82571411132812,109.82196192587575
2011-02-28:2011-03-04,109.94192504882812,109.33230246267011
2011-03-07:2011-03-11,108.58909606933594,107.03566028225806
2011-03-14:2011-03-18,106.4935302734375,108.14287837859123
2011-03-21:2011-03-25,109.44430541992188,109.70426916307018
2011-03-28:2011-04-01,110.98632049560548,111.1092051844443
2011-04-04:2011-04-08,110.74459838867188,110.03098321730091
2011-04-11:2011-04-15,110.06109619140624,109.52172064012096
2011-04-18:2011-04-22,111.511474609375,112.06832098191784
2011-04-25:2011-04-29,113.72035217285156,113.09572330597908
2011-05-02:2011-05-06,111.86155700683594,112.51333421276462
2011-05-09:2011-05-13,111.72816467285156,111.23263352917087
2011-05-16:2011-05-20,111.36976623535156,110.1791236631332
