date range,XLY,XLP,XLE,XL,XLV,XLI,XLB,XLK,XTL,XLU,IEI,LQD,SPHY,GLD,BIL,GSG,UUP,VWO,EEM,VNQ,day 1,day 2,day 3,day 4,day 5,SPY
2010-02-01:2010-02-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.22201157,25.5751915,25.59241676,24.85161209,24.78269577,87.30366669
2010-02-01:2010-02-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0196743,20.30783463,20.16375351,19.75426292,19.70118523,87.30366669
2010-02-01:2010-02-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.93959045,42.4908371,42.12582016,40.39758682,40.4050293,87.30366669
2010-02-01:2010-02-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.520084381,7.593095303,7.509653091,7.186323166,7.269761562,87.30366669
2010-02-01:2010-02-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.28399849,26.82705498,26.46780014,25.79942131,25.75765038,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50371742,22.93289948,22.79523659,22.12312126,22.02594566,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93838692,25.01796532,24.7314949,23.80844116,24.25405693,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.92164421,18.09916496,18.14143181,17.63422203,17.81174278,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.13487625,45.13487625,45.13487625,45.13487625,45.13487625,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.43926048,20.60430908,20.45988464,19.92345619,19.88907051,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96.00578308,96.04876709,95.84234619,96.3927536,96.61640167,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71.98155212,72.20882416,72.13311005,72.1261673,71.90581512,87.30366669
2010-02-01:2010-02-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.97455788,17.97455788,17.97455788,17.97455788,17.97455788,87.30366669
